id,subject,status,priority,type,created_at,updated_at,custom_fields.cf_sgdb,custom_fields.cf_ambiente,custom_fields.cf_csi_status
56191,Mills - Checklist Oracle - (GRP),5,1,Checklist,2026-01-02T10:00:03Z,2026-01-02T13:09:43Z,Sql Server,Produção,
56192,Mills - Checklist Oracle - (GRD),5,1,Checklist,2026-01-02T10:00:03Z,2026-01-02T13:09:44Z,Sql Server,Produção,
56180,INFO Engeman: Database Checklist on Server: SMLSAWSSQLVP01,5,1,Checklist,2026-01-02T09:55:10Z,2026-01-02T13:09:43Z,Sql Server,Produção,
56179,Mills - Checklist Oracle - SMAWSBWVBP02 (BP1),5,1,Checklist,2026-01-02T09:52:25Z,2026-01-02T13:09:43Z,Sql Server,Produção,
56735,SNCBDO01 - Health Check Diário,5,1,Checklist,2026-01-15T11:03:59Z,2026-01-15T13:27:25Z,Oracle,Produção,NA - Não aplicável
56734,Mills - Checklist Oracle - SMAWSMCPVBP01 (MCP),5,1,Checklist,2026-01-15T11:00:12Z,2026-01-15T13:32:27Z,Oracle,Produção,NA - Não aplicável
56730,Mills - Checklist Oracle - SAP (ECP),5,1,Checklist,2026-01-15T10:14:34Z,2026-01-15T13:32:55Z,Oracle,Produção,NA - Não aplicável
56729,INFO: Database Checklist on Server: SES-SQL-PRD\BI,5,1,Checklist,2026-01-15T10:06:51Z,2026-01-15T13:40:39Z,Sql Server,Produção,NA - Não aplicável
56728,Mills - Checklist Oracle - SMAWSECCVBQ01 (ECQ),5,1,Checklist,2026-01-15T10:03:54Z,2026-01-15T13:45:49Z,Oracle,Produção,
56727,Mills - Checklist Oracle - (MCQ),5,1,Checklist,2026-01-15T10:00:13Z,2026-01-15T13:50:10Z,Oracle,Produção,
56726,Mills - Checklist Oracle - SMAWSECCVBD01 (ECD),5,1,Checklist,2026-01-15T10:00:10Z,2026-01-15T13:50:30Z,Oracle,Produção,
56725,Mills - Checklist Oracle - (POP),5,1,Checklist,2026-01-15T10:00:05Z,2026-01-15T13:51:22Z,Oracle,Produção,
56723,Mills - Checklist Oracle - (GWP),5,1,Checklist,2026-01-15T10:00:04Z,2026-01-15T14:08:14Z,Oracle,Produção,
56724,Mills - Checklist Oracle - (GRP),5,1,Checklist,2026-01-15T10:00:04Z,2026-01-15T14:03:14Z,Oracle,Produção,
56721,Mills - Checklist Oracle - (POD),5,1,Checklist,2026-01-15T10:00:03Z,2026-01-15T14:09:00Z,Oracle,Produção,
56722,Mills - Checklist Oracle - (GRD),5,1,Checklist,2026-01-15T10:00:03Z,2026-01-15T14:08:49Z,Oracle,Produção,
56720,INFO: Database Checklist on Server: SES-CLO-BD-SER,5,1,Checklist,2026-01-15T09:56:16Z,2026-01-15T13:40:57Z,Sql Server,Produção,NA - Não aplicável
56719,INFO: Database Checklist on Server: SES-SQL-PRD,5,1,Checklist,2026-01-15T09:56:15Z,2026-01-15T14:24:08Z,Sql Server,Produção,NA - Não aplicável
56718,INFO: Database Checklist on Server: SRVBD,5,1,Checklist,2026-01-15T09:56:13Z,2026-01-15T13:45:34Z,Oracle,Produção,NA - Não aplicável
56717,INFO: Database Checklist on Server: CALIFORNIA,5,1,Checklist,2026-01-15T09:56:12Z,2026-01-15T14:51:31Z,Sql Server,Produção,NA - Não aplicável
56716,INFO Engeman: Database Checklist on Server: SMLSAWSSQLVP01,5,1,Checklist,2026-01-15T09:55:10Z,2026-01-15T14:51:42Z,Oracle,Produção,NA - Não aplicável
56715,INFO: Database Checklist on Server: SRVBDCD,5,1,Checklist,2026-01-15T09:55:08Z,2026-01-15T15:01:29Z,Sql Server,Produção,NA - Não aplicável
56714,INFO: Database Checklist on Server: SRVBDADM,5,1,Checklist,2026-01-15T09:55:06Z,2026-01-15T14:45:38Z,Sql Server,Produção,NA - Não aplicável
56713,INFO: Database Checklist on Server: SRVBDADM\BI,5,1,Checklist,2026-01-15T09:55:05Z,2026-01-15T14:46:32Z,Sql Server,Produção,NA - Não aplicável
56712,INFO: Database Checklist on Server: SRVBDADM\BIMER,5,1,Checklist,2026-01-15T09:55:03Z,2026-01-15T14:52:08Z,Sql Server,Produção,NA - Não aplicável
56711,INFO: Database Checklist on Server: SRVBDADM\PACK,5,1,Checklist,2026-01-15T09:55:02Z,2026-01-15T14:32:59Z,Sql Server,Produção,NA - Não aplicável
56710,Mills - Checklist Oracle - SMAWSBWVBP02 (BP1),5,1,Checklist,2026-01-15T09:49:50Z,2026-01-15T14:24:42Z,Oracle,Produção,
56684,SNCBDO01 - Health Check Diário,5,1,Incidentes,2026-01-14T11:03:53Z,2026-01-14T11:44:22Z,Oracle,Produção,NA - Não aplicável
56681,Mills - Checklist Oracle - SMAWSMCPVBP01 (MCP),5,1,Checklist,2026-01-14T11:00:12Z,2026-01-14T11:42:14Z,Oracle,Produção,NA - Não aplicável
56677,Mills - Checklist Oracle - SAP (ECP),5,1,Checklist,2026-01-14T10:13:35Z,2026-01-14T11:49:13Z,Oracle,Produção,NA - Não aplicável
56676,INFO: Database Checklist on Server: SES-SQL-PRD\BI,5,1,Checklist,2026-01-14T10:05:09Z,2026-01-14T15:42:29Z,Sql Server,Produção,NA - Não aplicável
56675,Mills - Checklist Oracle - SMAWSECCVBQ01 (ECQ),5,1,Checklist,2026-01-14T10:03:52Z,2026-01-14T11:49:40Z,Oracle,Produção,NA - Não aplicável
56674,Mills - Checklist Oracle - (MCQ),5,1,Checklist,2026-01-14T10:00:13Z,2026-01-14T11:54:28Z,Oracle,Produção,NA - Não aplicável
56673,Mills - Checklist Oracle - SMAWSECCVBD01 (ECD),5,1,Checklist,2026-01-14T10:00:10Z,2026-01-14T11:53:36Z,Oracle,Produção,NA - Não aplicável
56668,Mills - Checklist Oracle - (GRP),5,1,Checklist,2026-01-14T10:00:04Z,2026-01-14T11:56:24Z,Oracle,Produção,NA - Não aplicável
56670,Mills - Checklist Oracle - (POD),5,1,Checklist,2026-01-14T10:00:04Z,2026-01-14T11:56:25Z,Oracle,Produção,NA - Não aplicável
56671,Mills - Checklist Oracle - (POP),5,1,Checklist,2026-01-14T10:00:04Z,2026-01-14T11:56:25Z,Oracle,Produção,NA - Não aplicável
56672,Mills - Checklist Oracle - (GRD),5,1,Checklist,2026-01-14T10:00:04Z,2026-01-14T11:56:25Z,Oracle,Produção,NA - Não aplicável
56669,Mills - Checklist Oracle - (GWP),5,1,Checklist,2026-01-14T10:00:04Z,2026-01-14T11:56:24Z,Oracle,Produção,NA - Não aplicável
56667,INFO: Database Checklist on Server: SES-CLO-BD-SER,5,1,Checklist,2026-01-14T09:55:35Z,2026-01-14T19:30:56Z,Sql Server,Produção,NA - Não aplicável
56666,INFO: Database Checklist on Server: SRVBD,5,1,Checklist,2026-01-14T09:55:31Z,2026-01-14T19:30:55Z,Sql Server,Produção,NA - Não aplicável
56665,INFO: Database Checklist on Server: SES-SQL-PRD,5,1,Checklist,2026-01-14T09:55:29Z,2026-01-14T19:30:55Z,Sql Server,Produção,NA - Não aplicável
56664,INFO: Database Checklist on Server: CALIFORNIA,5,1,Checklist,2026-01-14T09:55:28Z,2026-01-14T19:30:55Z,Sql Server,Produção,NA - Não aplicável
56663,INFO: Database Checklist on Server: SRVBDCD,5,1,Checklist,2026-01-14T09:55:26Z,2026-01-14T19:30:55Z,Sql Server,Produção,NA - Não aplicável
56662,INFO: Database Checklist on Server: SRVBDADM,5,1,Checklist,2026-01-14T09:55:24Z,2026-01-14T19:30:55Z,Sql Server,Produção,NA - Não aplicável
56661,INFO: Database Checklist on Server: SRVBDADM\PACK,5,1,Checklist,2026-01-14T09:55:23Z,2026-01-14T19:30:55Z,Sql Server,Produção,NA - Não aplicável
56660,INFO: Database Checklist on Server: SRVBDADM\BIMER,5,1,Checklist,2026-01-14T09:55:21Z,2026-01-14T19:30:54Z,Sql Server,Produção,NA - Não aplicável
56659,INFO: Database Checklist on Server: SRVBDADM\BI,5,1,Checklist,2026-01-14T09:55:20Z,2026-01-14T19:30:54Z,Sql Server,Produção,NA - Não aplicável
56658,INFO Engeman: Database Checklist on Server: SMLSAWSSQLVP01,5,1,Checklist,2026-01-14T09:55:11Z,2026-01-14T11:57:40Z,Sql Server,Produção,NA - Não aplicável
56657,Mills - Checklist Oracle - SMAWSBWVBP02 (BP1),5,1,Checklist,2026-01-14T09:49:50Z,2026-01-14T11:55:44Z,Oracle,Produção,NA - Não aplicável
56643,CLEAR: There is not a Blocked Process for more than 5 minutes on Server: SMLSAWSSQLVP01,5,1,Incidentes,2026-01-13T12:56:34Z,2026-01-14T12:56:48Z,Sql Server,Outro,
56642,ALERT: There are 8 Blocked Processes for more than 5 minutes and a total of 57 Lock(s) on Server: SMLSAWSSQLVP01,5,1,Checklist,2026-01-13T12:54:37Z,2026-01-14T12:57:05Z,Sql Server,Produção,NA - Não aplicável
56639,SNCBDO01 - Health Check Diário,5,1,Checklist,2026-01-13T11:04:54Z,2026-01-13T12:21:09Z,Oracle,Outro,NA - Não aplicável
56638,Mills - Checklist Oracle - SMAWSMCPVBP01 (MCP),5,1,Checklist,2026-01-13T11:00:12Z,2026-01-13T12:22:09Z,Oracle,Produção,NA - Não aplicável
56634,Mills - Checklist Oracle - SAP (ECP),5,1,Checklist,2026-01-13T10:13:23Z,2026-01-13T12:24:29Z,Oracle,Produção,NA - Não aplicável
56632,Mills - Checklist Oracle - SMAWSECCVBQ01 (ECQ),5,1,Checklist,2026-01-13T10:03:46Z,2026-01-13T12:24:37Z,Oracle,Produção,NA - Não aplicável
56631,Mills - Checklist Oracle - (MCQ),5,1,Checklist,2026-01-13T10:00:13Z,2026-01-13T12:24:49Z,Oracle,Produção,NA - Não aplicável
56630,Mills - Checklist Oracle - SMAWSECCVBD01 (ECD),5,1,Checklist,2026-01-13T10:00:09Z,2026-01-13T12:24:59Z,Oracle,Produção,NA - Não aplicável
56628,Mills - Checklist Oracle - (GWP),5,1,Checklist,2026-01-13T10:00:04Z,2026-01-13T12:26:32Z,Oracle,Produção,NA - Não aplicável
56627,Mills - Checklist Oracle - (GRP),5,1,Checklist,2026-01-13T10:00:04Z,2026-01-13T12:26:59Z,Oracle,Produção,NA - Não aplicável
56625,Mills - Checklist Oracle - (POD),5,1,Checklist,2026-01-13T10:00:04Z,2026-01-13T12:26:59Z,Oracle,Produção,NA - Não aplicável
56626,Mills - Checklist Oracle - (GRD),5,1,Checklist,2026-01-13T10:00:04Z,2026-01-13T12:26:59Z,Oracle,Produção,NA - Não aplicável
56629,Mills - Checklist Oracle - (POP),5,1,Checklist,2026-01-13T10:00:04Z,2026-01-13T12:25:30Z,Oracle,Produção,NA - Não aplicável
56620,INFO Engeman: Database Checklist on Server: SMLSAWSSQLVP01,5,1,Checklist,2026-01-13T09:55:10Z,2026-01-13T12:27:51Z,Sql Server,Produção,NA - Não aplicável
